open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1666183200000,7.58900000,7.60940000,7.57320000,7.58000000,122515.04000000,1666183499999,930142.66602600,1630,54574.05000000,414443.11626800,0
1666183500000,7.58000000,7.58000000,7.49230000,7.55040000,251951.40000000,1666183799999,1896042.65427300,2807,131976.31000000,993091.98376700,0
1666183800000,7.55000000,7.64860000,7.53250000,7.63140000,202353.07000000,1666184099999,1536826.36886700,2432,105779.16000000,802190.24948400,0
1666184100000,7.63010000,7.67920000,7.59850000,7.63320000,101076.28000000,1666184399999,772497.80541600,1534,55612.64000000,424866.68607600,0
1666184400000,7.63310000,7.74000000,7.63300000,7.72550000,199488.78000000,1666184699999,1536436.23239800,2279,112872.99000000,869049.54789600,0
1666184700000,7.72380000,7.75570000,7.66630000,7.68490000,91332.97000000,1666184999999,704601.67040800,1534,49291.08000000,380227.32111100,0
1666185000000,7.68280000,7.73670000,7.67000000,7.71990000,83208.77000000,1666185299999,639940.14532700,1053,44842.15000000,345112.20022600,0
1666185300000,7.71740000,7.75130000,7.67460000,7.71000000,135785.64000000,1666185599999,1046362.83436900,1737,64469.75000000,496770.57024100,0
1666185600000,7.71090000,7.71990000,7.68070000,7.70010000,69675.57000000,1666185899999,536528.50563000,837,26729.09000000,205808.91448100,0
1666185900000,7.70010000,7.70010000,7.64000000,7.68390000,154051.85000000,1666186199999,1182060.71537500,1897,62010.56000000,475801.01549200,0
1666186200000,7.68550000,7.86880000,7.65290000,7.82060000,207762.49000000,1666186499999,1612379.22838100,2693,130961.96000000,1015576.97533900,0
1666186500000,7.82360000,7.86310000,7.77010000,7.78850000,67154.18000000,1666186799999,524601.95788100,1375,35059.82000000,273962.48235000,0
1666186800000,7.78850000,7.80840000,7.70500000,7.73000000,101923.03000000,1666187099999,790261.61753800,1601,50905.60000000,394905.92235900,0
1666187100000,7.73100000,7.79250000,7.70500000,7.70590000,148623.49000000,1666187399999,1152534.39413600,1714,77415.03000000,600724.98626000,0
1666187400000,7.70530000,7.74810000,7.66330000,7.69000000,108296.83000000,1666187699999,833645.09311700,1786,47941.28000000,369169.69246500,0
1666187700000,7.69000000,7.70680000,7.66000000,7.67460000,106060.09000000,1666187999999,814552.40989700,1146,36949.43000000,283926.77013300,0
1666188000000,7.67470000,7.75000000,7.67010000,7.74800000,155379.50000000,1666188299999,1199483.47685600,1545,88836.61000000,685792.81721700,0
1666188300000,7.74970000,7.75410000,7.67560000,7.68010000,109162.45000000,1666188599999,842793.64653200,1408,42539.25000000,329021.17234300,0
1666188600000,7.68020000,7.72330000,7.53110000,7.57390000,258387.10000000,1666188899999,1964516.76957000,2674,84531.75000000,642242.76345100,0
1666188900000,7.57390000,7.63130000,7.56720000,7.60640000,98944.29000000,1666189199999,751924.91836400,1390,45564.02000000,346324.99363200,0
1666189200000,7.60540000,7.68420000,7.60120000,7.64740000,80719.45000000,1666189499999,617142.97188900,1149,47441.67000000,362799.65886600,0
1666189500000,7.64640000,7.71850000,7.62410000,7.71370000,114501.59000000,1666189799999,879668.47237800,1335,69393.35000000,533291.76253200,0
