,DateTime,Token,TimeFrame,LastPrice,% Change,Avg Num Trade,Avg Volume,Volume/Trade,Volatility
137,2022-11-03 08:40:00,OMGUSDT,5m,1.66,1.8072289156626522,61.389,9485.09468,154.50804997638014,2.15%
138,2022-10-27 10:00:00,OMGUSDT,15m,1.66,0.0,146.614,25164.895129999997,171.6404649624183,0.76%
139,2022-09-26 04:00:00,OMGUSDT,1h,1.66,-1.8072289156626522,402.673,66499.34285,165.14477715168388,2.18%
140,2022-11-06 18:42:30,THETAUSDT,1s,1.2,-0.8333333333333341,1.057,343.67607,325.1429233680227,nan%
141,2022-11-06 02:20:00,THETAUSDT,1m,1.2,-8.333333333333341,19.788,5502.896379999999,278.09260056599953,0.79%
142,2022-11-03 08:40:00,THETAUSDT,5m,1.2,-0.8333333333333341,136.818,37292.742979999995,272.5719055972167,1.13%
143,2022-10-27 10:00:00,THETAUSDT,15m,1.2,8.333333333333323,413.465,109173.25598,264.04473408873787,2.42%
144,2022-09-26 04:00:00,THETAUSDT,1h,1.2,10.833333333333325,909.365,248255.09826,272.9982990988217,1.86%
145,2022-11-06 18:42:32,ENJUSDT,1s,0.45,0.0,0.328,52.554829999999995,160.22814024390243,nan%
146,2022-11-06 02:20:00,ENJUSDT,1m,0.45,-4.444444444444437,14.241,2369.8216899999998,166.4083765185029,0.72%
147,2022-11-03 08:40:00,ENJUSDT,5m,0.45,4.444444444444448,90.053,14551.904789999999,161.59267087159782,2.97%
148,2022-10-27 10:00:00,ENJUSDT,15m,0.45,2.222222222222224,236.642,39778.01017,168.09361892647968,1.6%
149,2022-09-26 04:00:00,ENJUSDT,1h,0.45,-2.222222222222224,632.593,116621.50747,184.35472328969811,2.04%
150,2022-11-06 18:42:34,MATICUSDT,1s,1.14,0.0,6.292,2628.6548900000003,417.77731881754613,0.0%
151,2022-11-06 02:20:00,MATICUSDT,1m,1.14,-0.8771929824561412,233.713,85415.53112999999,365.47188701527085,0.67%
152,2022-11-03 08:40:00,MATICUSDT,5m,1.13,16.814159292035395,2149.579,746905.2493200001,347.4658290390816,6.48%
153,2022-10-27 10:00:00,MATICUSDT,15m,1.13,18.584070796460168,3479.939,1268397.54792,364.48844302155874,4.8%
154,2022-09-26 04:00:00,MATICUSDT,1h,1.13,34.51327433628318,7505.217,2816528.7596,375.27612587350905,4.96%
155,2022-11-06 18:42:37,ATOMUSDT,1s,14.47,-0.9675190048375866,2.784,976.2058900000002,350.64866738505754,nan%
156,2022-11-06 02:20:00,ATOMUSDT,1m,14.47,-3.386316516931584,82.395,23695.338949999998,287.58224346137507,0.28%
157,2022-11-03 08:40:00,ATOMUSDT,5m,14.43,7.068607068607066,578.2,167696.1739,290.0314318574887,3.07%
158,2022-10-27 10:00:00,ATOMUSDT,15m,14.43,9.909909909909908,1606.241,504237.699,313.92406183131925,2.07%
159,2022-09-26 04:00:00,ATOMUSDT,1h,14.43,2.494802494802491,4831.648,1560276.99306,322.92853143689274,2.8%
160,2022-11-06 18:42:39,ONEUSDT,1s,0.02,0.0,0.497,132.38682,266.3718712273642,nan%
161,2022-11-06 02:20:00,ONEUSDT,1m,0.02,0.0,19.655,3262.12908,165.96942660900535,0.0%
162,2022-11-03 08:40:00,ONEUSDT,5m,0.02,0.0,128.37,22519.89817,175.42960325621252,0.0%
